track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,cluster
004s3t0ONYlzxII9PLgU6z,I Feel Alive,Steady Rollin,28,3z04Lb9Dsilqw68SHt6jLB,Love  Loss,0
00chLpzhgVjxs1zKC9UScL,Poison,Bell Biv DeVoe,0,6oZ6brjB8x3GoeSYdwJdPc,Gold,1
00cqd6ZsSkLZqGMlQCR0Zo,Baby Its Cold Outside feat Christina Aguilera,CeeLo Green,41,3ssspRe42CXkhPxdc12xcp,CeeLos Magic Moment,1
00emjlCv9azBN0fzuuyLqy,Dumb Litty,KARD,65,7h5X3xhh3peIK9Y0qI5hbK,KARD nd Digital Single Dumb Litty,13
00f9VGHfQhAHMCQ2bSjg3D,Soldier,James TW,70,3GNzXsFbzdwM0WKCZtgeNP,Chapters,-1
00FROhC5g4iJdax5US8jRr,Satisfy You,Diddy,52,2dHr0LpUe6CNV5lNsr8x0W,Forever,3
00GfGwzlSB8DoA0cDP2Eit,Tender Lover,Babyface,36,51fAXJ5bMn7DRSunXQ6PMb,Tender Lover,1
00Gu3RMpDW2vO9PjlMVFDL,Hide Away feat Envy Monroe,Blasterjaxx,42,5pqG85igfoeWcCDIsSi9x7,Hide Away feat Envy Monroe,22
00HIh9mVUQQAycsQiciWsh,Limestone,Magic City Hippies,58,7mtoEwzZYBqG8JYItxcccG,Hippie Castle EP,-1
00i2HU7TEzzftShjRrDSEF,Changes,2Pac,72,4Y9ISbppFbwk0r1XCLUi0I,The Best of Pac  Pt  Thug,-1
00ITtxUozN0vifE2uYvtqn,Let Me Entertain You  Remastered ,Queen,41,2yuTRGIackbcReLUXOYBqU,Jazz  Remaster,0
00LfFm08VWeZwB0Zlm24AT,Suga Suga,Baby Bash,8,2bAkYizbM1rMbOUHpfAV9z,Tha Smokin Nephew,-1
00lNx0OcTJrS3MKHcB80HY,You Dont Know Me  Radio Edit,Jax Jones,14,4eYnvtB4sTtfGr0903YMn4,You Dont Know Me,-1
00NAQYOP4AmWR549nnYJZu,Secrets,The Weeknd,71,2ODvWsOgouMbaA5xf0RkJe,Starboy,-1
00OKDIsSQbx8rd5Al7fKNw,Stand Out  From How to Build a Better Boy,Sabrina Carpenter,33,3cfTPG7l0IBjJh7MVBqNdx,Stand Out From How to Build a Better Boy,2
00p85inzGeXRXgqDVn7Ftq,Laps,Zotiyac,36,3JPejWmP5LweCgQ2xHgYjV,Laps,-1
00PLtXXER1XcTRZvs3LioS,Get The Funk Out Ma Face,The Brothers Johnson,49,5IzEY3pod97kHrdt5Qt1RB,Look Out For ,1
00ppj2gGs8oxhGnTdejkzD,Ooh,SAYMYNAME,39,0wFEGiNrd0XKzRTLyweP1u,Ooh,-1
00qOE7OjRl0BpYiCiweZB2,Juke Box Hero,Foreigner,67,2Pw51hAGvWpTA3AYl2WVuu, Expanded,-1
00QyLmjxaSEE8qIZQjBXBj,We Own It Fast  Furious,2 Chainz,59,1jg2UPoSAr7CDPsEXcabo1,Fast  Furious ,-1
00ReeHCY0FQUyuAUyPJdnk,Aint No Future In Yo Frontin,MC Breed,48,7mLks5uEIPmT0056mb5oV3,MC Breed  DFC,19
00S35gEf40z03JTJgvQMqi,Its You  Radio Edit,Syn Cole,51,34u7JI9MqdhGSkhMNrlDST,Its You,2
00SmB7n85SKROGjybsyq5i,Bongo Bong,Manu Chao,66,3xoAUqjKs7Ps7wR26VAMbq,Clandestino,-1
00UpV14MDfk4CvrMbFvqji,It Wont Stop feat Chris Brown  Julian Calor Remix,Sevyn Streeter,0,52FeJmVsUJfoQybiwI5j9m,Atlantic Records Miami ,-1
00WIXhVVhswHuS6dlkScuw,Hot,Confetti,51,6nsXqX8wZbkiqSKmSqxsuT,Hot,2
00YeYHw6zhoy1y7EPTgIkj,Shine  Kygo Remix,Benjamin Francis Leftwich,48,6tUKtq2hrHaWVs5Qokzc1P,Shine Kygo Remix,2
00Z0GIRi0l7WqQnQJCo5S2,Dont Let It Break Your Heart  Single Edit,Louis Tomlinson,75,5u9HZPF2dVu38Ly2Ftje7S,Dont Let It Break Your Heart,-1
011gUcrvLDn2gEApOdOhVe,Been A While,Sam Feldt,2,4f99odoYED4w3X3EgMrjYG,Been A While,2
012mGdSYIBEmERuScm2iOl,Santa Claus Is Coming To Town,The Jackson 5,28,4UvvfXA7W1IHzBaUCaRj2k,Christmas Number s,3
014J7jX1wSv0manSdRnveo,Dancing On My Own  Tisto Remix,Calum Scott,9,7vGzSetTlpBFG31tGWInEh,Dancing On My Own Tisto Remix,4
014V6u9VubefjaPPl1QkTJ,Phenomenal,Eminem,1,5pqnv0aiizL6F4mmVkniKM,Southpaw Music From And Inspired By The Motion Picture,7
01Bw3xiZ5PQfn0btMWICaQ,Beautiful Life,Lost Frequencies,30,2WGceQjphDCN6OdXxNBH6x,Beautiful Life,15
01DSvNTUsVROjnSF5j3UbD,Try,P!nk,10,0pqKb2y8h2BWS46HMfmEgD,The Truth About Love,5
01IQ4aQgOf0Kkq3a273hmO,Funky Friday,Dave,72,3CFVTstiXfXZDHF6EeMnGf,Funky Friday,6
01iyINEYgPQ7ThMZuHUsqS,First Love,Lost Kings,58,7syMmofF2t1xI0RFCtrSG9,First Love,2
01kmEgrTZAGvJNicVB7laT,Alone,Lund,64,3dosTihFLZHtyaZPJ8kyhV,Gold,-1
01LODLnhlfNphZ366BqKc0,Now That Were Dead,Metallica,50,4kizef5du9TgAGfNhWbKmt,HardwiredTo SelfDestruct,-1
01Lr5YepbgjXAWR9iOEyH1,Love Sosa,Chief Keef,64,2B4y3j02ho6XNF8BEzx3JF,Finally Rich,7
01M4Wng6jF5uoNEHLl2OIn,Mama Knew Love,Anthony Hamilton,41,0qN4uk3SGen6vUOjImJ6em,Comin From Where Im From,-1
01q4ccXbvPlCwZ1fPiFaeM,Girlfriend in a Coma   Remaster,The Smiths,56,7jfexk2w5aDI25njkN0UGg,Strangeways Here We Come,0
01Qb6dN5suQNu87VJ1mIpf,Did It Again,Lil Tecca,41,1NQuFYzzL0WbNOTjsXzXYf,Did It Again,-1
01QhVHvkGqzO861Kl3GhfX,Ill Be All Youll Ever Need,Trinere,27,5BC8h7zzDUifrb8PJJ4UTM,All Night,-1
01R0Xdwje645C6xFCnMRvm,Talk Dirty To Me,Poison,54,0xOBnypzEh4WKROJ51LL09,Look What The Cat Dragged In,-1
01TzbTwZ9Mce9mOeBpH03i,Goodbye Love,Guy,45,1b4uW38DLtC6GlGr39AGHc,Guy,-1
01vv2AjxgP4uUyb8waYO5Y,Morph,Twenty One Pilots,70,621cXqrTSSJi1WqDMSLmbL,Trench,-1
01XFgRZfZI7oBagNf1Loml,Harlem Shake,Baauer,62,5H0yFEG5FT0tccZRSdNvVU,Harlem Shake,7
020mPSviVz90DTlyfxofDJ,Always Gonna Say Sorry,Joakim Molitor,1,5OFiJ2RpuPqUa4aHdmKgvX,Always Gonna Say Sorry feat Maia Wright,-1
02138lFv3Bzncr6ScNbLAF,Rattle Your Cage,Skrizzly Adams,44,3RcttHMKlZ7K1ovxIANPd0,Young Man,0
023OVLNzXhX0j7CxswUt6D,Cheerleader  Felix Jaehn Remix Radio Edit,OMI,67,1QwWTLYn9dntAj7l9FRJwY,Me  U,-1
